,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Windspeed
0,qasigiannguit,100,PF,1604805134,74,-23.12,-134.97,22.08,7.98
1,qasigiannguit,99,RU,1604804947,95,63.05,179.32,-2.68,5.99
2,qasigiannguit,20,TO,1604804935,74,-21.2,-175.2,27.0,4.1
3,qasigiannguit,1,GL,1604805194,68,77.48,-69.36,-24.14,4.63
4,qasigiannguit,68,RU,1604805195,63,46.54,138.33,4.08,1.73
5,qasigiannguit,0,FI,1604805195,89,63.92,24.97,-0.56,2.24
6,qasigiannguit,64,RU,1604805195,81,67.16,32.41,2.13,8.82
7,qasigiannguit,69,RU,1604804992,92,71.69,128.87,-21.12,1.03
8,qasigiannguit,75,JP,1604805195,69,45.41,141.67,7.0,11.8
9,qasigiannguit,99,RU,1604805195,93,69.3,139.9,-19.94,1.62
10,qasigiannguit,1,US,1604805178,93,34.88,-76.9,18.33,4.6
11,qasigiannguit,75,ZA,1604805074,93,-33.93,18.42,15.0,6.7
12,qasigiannguit,0,CL,1604805057,69,-35.33,-72.42,14.54,3.87
13,qasigiannguit,27,VU,1604805196,75,-19.55,169.27,27.01,3.91
14,qasigiannguit,0,RE,1604804955,64,-21.36,55.77,22.0,2.1
15,qasigiannguit,0,MN,1604805196,83,49.49,105.92,-1.08,2.36
16,qasigiannguit,1,US,1604805196,58,38.42,-121.42,13.33,4.1
17,qasigiannguit,100,KZ,1604805196,96,50.25,58.43,0.46,8.21
18,qasigiannguit,100,PH,1604805175,81,17.42,121.44,27.33,1.96
19,qasigiannguit,9,CA,1604805196,61,44.08,-80.2,13.33,7.08
20,qasigiannguit,20,MY,1604804647,74,5.41,100.34,30.0,2.1
21,qasigiannguit,20,MZ,1604805197,94,-25.97,32.59,25.0,2.6
22,qasigiannguit,75,BR,1604805197,78,-27.61,-48.5,22.0,1.87
23,qasigiannguit,90,US,1604805010,88,19.73,-155.09,24.0,3.1
24,qasigiannguit,75,US,1604805197,93,42.6,-73.97,11.67,1.43
25,qasigiannguit,44,ZA,1604805198,82,-34.53,20.04,14.0,3.6
26,qasigiannguit,0,NZ,1604805040,57,-46.19,168.86,12.22,4.47
27,qasigiannguit,75,MU,1604805198,88,-20.34,57.76,23.0,4.1
28,qasigiannguit,0,MX,1604805198,44,22.6,-103.87,13.32,1.2
29,qasigiannguit,24,MU,1604805198,87,-20.01,57.66,21.67,4.02
30,qasigiannguit,20,CL,1604805198,71,-53.15,-70.92,11.0,10.8
31,qasigiannguit,100,KZ,1604805198,100,46.84,74.98,1.0,7.0
32,qasigiannguit,20,AR,1604805011,44,-54.8,-68.3,14.0,7.7
33,qasigiannguit,75,US,1604805137,83,22.08,-159.32,27.0,5.7
34,qasigiannguit,35,NZ,1604805057,57,-46.6,168.33,12.22,4.47
35,qasigiannguit,75,CA,1604805132,92,65.28,-126.83,-2.0,1.5
36,qasigiannguit,85,ZA,1604805073,78,-34.42,19.23,15.56,0.89
37,qasigiannguit,2,ZA,1604804952,81,-33.02,27.91,20.23,5.09
38,qasigiannguit,92,SE,1604805199,69,65.58,22.15,1.0,2.6
39,qasigiannguit,0,AU,1604805199,67,-38.27,141.97,17.25,4.76
40,qasigiannguit,0,AU,1604805199,48,-37.83,140.77,19.0,3.6
41,qasigiannguit,75,JP,1604804981,73,28.37,129.48,24.0,5.7
42,qasigiannguit,75,RU,1604805129,81,59.7,30.79,8.0,6.0
43,qasigiannguit,0,SN,1604805200,83,14.69,-17.44,26.0,6.7
44,qasigiannguit,90,CA,1604805200,80,47.67,-52.73,2.22,5.7
45,qasigiannguit,100,RU,1604804948,98,65.98,60.31,-2.19,3.41
46,qasigiannguit,24,MX,1604805200,80,16.52,-98.75,25.99,1.39
47,qasigiannguit,99,ID,1604805200,63,-3.8,102.27,29.28,1.57
48,qasigiannguit,1,US,1604805200,86,57.05,-135.33,1.0,3.1
49,qasigiannguit,82,FO,1604804930,81,62.23,-6.59,6.0,3.6
50,qasigiannguit,100,MA,1604805201,63,29.58,-9.5,16.22,0.44
51,qasigiannguit,90,PE,1604805083,88,-13.7,-76.22,17.0,5.1
52,qasigiannguit,36,GL,1604804936,78,72.79,-56.15,-17.12,3.56
53,qasigiannguit,30,SD,1604805201,32,13.6,26.69,20.9,5.44
54,qasigiannguit,37,SE,1604805201,87,59.27,15.21,8.0,2.6
55,qasigiannguit,75,IS,1604804932,45,66.04,-17.34,6.0,6.7
56,qasigiannguit,1,US,1604804922,87,39.18,-84.53,16.11,1.21
57,qasigiannguit,40,JP,1604805156,73,35.73,140.83,21.67,4.1
58,qasigiannguit,16,ZA,1604805201,77,-30.74,30.45,20.72,1.68
59,qasigiannguit,90,AR,1604804934,100,-38.0,-57.56,16.0,2.6
60,qasigiannguit,99,RU,1604805202,94,68.75,161.3,-15.45,2.77
61,qasigiannguit,0,ZA,1604805143,93,-33.92,25.57,14.0,2.1
62,qasigiannguit,75,CA,1604804934,85,69.45,-133.04,-4.0,8.2
63,qasigiannguit,0,CL,1604804953,85,-37.62,-73.65,11.43,9.07
64,qasigiannguit,18,EC,1604804937,82,-0.74,-90.35,20.56,2.24
65,qasigiannguit,75,BR,1604805202,94,-20.33,-40.29,23.0,1.0
66,qasigiannguit,90,CA,1604805078,85,55.74,-97.86,-9.0,3.1
67,qasigiannguit,0,RU,1604805202,94,46.83,40.75,4.1,1.0
68,qasigiannguit,75,RU,1604805164,85,69.49,88.4,-7.0,10.0
69,qasigiannguit,75,US,1604805203,65,21.4,-157.74,28.0,5.7
70,qasigiannguit,1,US,1604805203,48,44.37,-100.35,17.0,4.1
71,qasigiannguit,90,US,1604805169,92,71.29,-156.79,-1.0,8.7
72,qasigiannguit,93,CA,1604805188,83,66.15,-65.71,-15.38,1.48
73,qasigiannguit,1,US,1604804936,50,42.1,-79.24,13.0,2.1
74,qasigiannguit,94,RU,1604805037,99,66.83,70.83,-3.7,0.55
75,qasigiannguit,63,ET,1604805203,73,7.93,38.72,16.99,3.81
76,qasigiannguit,40,BR,1604805203,83,-3.98,-38.73,27.0,5.1
77,qasigiannguit,20,AU,1604804906,47,-42.88,147.33,19.44,5.1
78,qasigiannguit,52,MV,1604805204,71,5.67,73.0,28.45,2.91
79,qasigiannguit,93,MG,1604805204,74,-13.2,49.05,23.83,1.5
80,qasigiannguit,100,MR,1604804940,73,20.93,-17.03,22.0,6.7
81,qasigiannguit,94,RU,1604805204,88,52.23,141.51,-2.72,6.44
82,qasigiannguit,100,RU,1604805204,95,70.63,147.92,-16.56,1.49
83,qasigiannguit,75,PT,1604805204,87,38.73,-27.07,14.0,5.13
84,qasigiannguit,1,UZ,1604805149,28,40.43,71.72,6.0,1.0
85,qasigiannguit,75,US,1604805204,73,27.94,-82.29,25.0,5.1
86,qasigiannguit,0,CN,1604805205,41,37.36,120.4,11.72,5.26
87,qasigiannguit,97,AU,1604805205,60,-33.65,115.33,22.78,0.89
88,qasigiannguit,0,RU,1604805205,94,51.32,42.77,1.67,4.91
89,qasigiannguit,95,GL,1604805205,74,65.61,-37.64,-1.0,4.03
90,qasigiannguit,90,TZ,1604805205,78,-2.63,33.98,19.41,1.4
91,qasigiannguit,20,US,1604805205,94,28.02,-97.52,22.22,5.7
92,qasigiannguit,97,CA,1604804935,79,68.22,-135.01,-3.0,1.5
93,qasigiannguit,75,BR,1604805141,88,-16.45,-39.06,25.0,3.6
94,qasigiannguit,75,FR,1604805206,88,43.12,6.12,17.0,4.6
95,qasigiannguit,27,GF,1604805206,88,3.17,-52.32,23.66,1.79
96,qasigiannguit,0,CN,1604805206,66,41.81,126.91,1.71,5.92
97,qasigiannguit,11,NO,1604805206,100,59.0,10.03,4.44,1.5
98,qasigiannguit,20,PT,1604805206,71,37.72,-25.43,14.0,2.1
99,qasigiannguit,97,ES,1604805206,87,39.52,-6.37,13.33,2.68
100,qasigiannguit,1,AU,1604805207,56,-33.87,121.9,23.0,2.6
101,qasigiannguit,66,KI,1604805207,69,3.07,172.79,27.38,3.8
102,qasigiannguit,79,RU,1604805207,87,52.73,58.89,1.19,5.47
103,qasigiannguit,0,RU,1604805149,87,71.97,102.5,-19.81,5.76
104,qasigiannguit,1,US,1604804957,57,39.15,-123.21,11.0,4.6
105,qasigiannguit,0,CL,1604804984,66,-45.58,-72.07,10.0,1.5
106,qasigiannguit,0,AR,1604805207,71,-45.87,-67.5,14.0,1.5
107,qasigiannguit,75,HK,1604804981,56,22.29,114.16,26.11,0.45
108,qasigiannguit,90,US,1604804963,79,61.22,-149.9,-3.89,2.6
109,qasigiannguit,0,MX,1604805208,59,26.53,-100.5,19.02,2.36
110,qasigiannguit,67,CK,1604805056,74,-21.21,-159.78,26.0,1.0
111,qasigiannguit,100,RU,1604805208,97,67.47,86.58,-8.56,6.53
112,qasigiannguit,75,JP,1604805208,42,35.55,133.23,19.0,5.7
113,qasigiannguit,0,ZA,1604805152,77,-33.59,26.89,17.88,3.89
114,qasigiannguit,1,US,1604805208,41,33.61,-114.6,16.0,8.2
115,qasigiannguit,93,BR,1604805208,81,-22.97,-42.03,22.28,3.92
116,qasigiannguit,0,UY,1604804946,94,-33.7,-53.46,15.0,2.47
117,qasigiannguit,75,JP,1604805042,72,35.13,140.3,21.67,3.6
118,qasigiannguit,0,SA,1604805209,82,31.67,38.66,13.0,6.2
119,qasigiannguit,40,RU,1604805209,85,64.75,177.48,-7.0,2.0
120,qasigiannguit,19,MV,1604805209,70,-0.6,73.08,28.99,3.25
121,qasigiannguit,100,TC,1604805209,80,21.46,-71.14,26.41,9.45
122,qasigiannguit,77,CD,1604805209,97,-7.3,27.42,20.27,1.09
123,qasigiannguit,0,AR,1604805209,81,-34.65,-58.62,20.56,2.24
124,qasigiannguit,25,VU,1604805191,78,-13.88,167.55,27.82,5.11
125,qasigiannguit,8,NZ,1604805210,57,-46.13,167.68,12.22,4.47
126,qasigiannguit,29,NU,1604805095,69,-19.06,-169.92,27.0,5.7
127,qasigiannguit,100,GL,1604805210,97,60.14,-45.24,-1.46,6.53
128,qasigiannguit,42,BR,1604805210,83,-5.58,-44.39,24.31,0.66
129,qasigiannguit,100,GL,1604805210,74,60.92,-46.05,-2.0,2.1
130,qasigiannguit,90,KZ,1604805210,84,49.14,56.49,2.25,6.98
131,qasigiannguit,100,VE,1604805210,89,8.22,-72.24,23.52,0.91
132,qasigiannguit,6,RU,1604805210,89,71.92,114.08,-22.98,3.77
133,qasigiannguit,20,RU,1604805211,77,50.68,156.12,2.65,2.68
134,qasigiannguit,72,RU,1604805211,84,50.72,136.63,-4.62,3.0
135,qasigiannguit,75,AU,1604805211,36,-15.77,128.73,34.0,3.6
136,qasigiannguit,0,UY,1604805211,96,-32.37,-54.18,14.03,3.57
137,qasigiannguit,0,CN,1604805023,29,35.41,116.58,15.46,3.9
138,qasigiannguit,0,AU,1604805211,25,-20.74,116.85,33.24,6.31
139,qasigiannguit,33,JP,1604805211,45,37.05,140.88,21.11,2.68
140,qasigiannguit,36,PG,1604805211,65,-2.57,150.8,29.45,1.46
141,qasigiannguit,32,AU,1604805200,7,-25.24,130.99,33.0,3.6
142,qasigiannguit,75,US,1604804931,81,45.52,-122.68,6.0,4.1
143,qasigiannguit,99,TH,1604804986,78,8.64,99.37,32.22,1.33
144,qasigiannguit,34,BE,1604805212,100,51.12,2.77,7.78,2.1
145,qasigiannguit,0,AM,1604805212,54,39.83,44.7,4.0,3.09
146,qasigiannguit,100,GL,1604805212,83,65.42,-52.9,-6.2,4.31
147,qasigiannguit,2,BF,1604805213,25,11.1,-2.1,23.12,2.78
148,qasigiannguit,98,PF,1604805166,74,-16.7,-151.02,26.71,4.83
149,qasigiannguit,100,RU,1604805213,86,70.02,135.6,-29.34,2.36
150,qasigiannguit,0,BR,1604805146,65,-24.79,-50.01,14.8,1.99
151,qasigiannguit,0,OM,1604805131,62,22.57,59.53,25.25,1.81
152,qasigiannguit,20,PT,1604805213,82,32.67,-17.1,17.22,1.5
153,qasigiannguit,23,PF,1604805163,79,-9.8,-139.03,25.31,6.1
154,qasigiannguit,82,ML,1604805214,25,20.2,1.01,21.19,4.63
155,qasigiannguit,75,ID,1604804975,66,-7.95,110.28,29.48,4.21
156,qasigiannguit,100,CO,1604805214,98,-0.19,-74.78,22.93,1.9
157,qasigiannguit,90,US,1604805214,85,64.86,-147.8,-5.0,2.1
158,qasigiannguit,0,MN,1604805214,72,46.68,113.28,-2.7,5.77
159,qasigiannguit,78,AU,1604805214,9,-23.7,133.88,32.0,4.6
160,qasigiannguit,41,BR,1604805133,71,-9.91,-63.04,25.61,0.3
161,qasigiannguit,66,MV,1604805214,70,5.1,73.07,28.79,3.18
162,qasigiannguit,75,KZ,1604805215,28,42.95,72.76,15.44,3.91
163,qasigiannguit,1,NZ,1604804966,40,-45.42,167.72,13.06,3.54
164,qasigiannguit,1,US,1604805215,87,44.39,-68.2,10.56,1.86
165,qasigiannguit,41,AU,1604805163,65,-24.87,113.63,25.0,6.7
166,qasigiannguit,100,SL,1604805215,86,7.53,-12.51,26.17,2.34
167,qasigiannguit,93,CN,1604805215,60,47.87,88.12,5.23,1.22
168,qasigiannguit,0,GF,1604805215,100,4.73,-52.33,25.0,2.13
169,qasigiannguit,1,US,1604805215,88,33.19,-82.53,20.0,2.6
170,qasigiannguit,69,TL,1604804938,35,-8.93,125.41,27.78,2.82
171,qasigiannguit,99,NZ,1604805131,62,-43.53,172.63,12.78,9.8
172,qasigiannguit,70,MV,1604805216,76,6.62,73.07,28.8,6.3
173,qasigiannguit,12,BR,1604805216,79,-23.78,-45.36,19.35,1.64
174,qasigiannguit,0,NA,1604805216,68,-26.58,18.13,14.8,2.62
175,qasigiannguit,0,BR,1604805216,46,-18.92,-54.84,27.46,1.84
176,qasigiannguit,100,BR,1604805156,95,-17.71,-39.25,23.47,2.04
177,qasigiannguit,90,CN,1604805216,64,36.62,101.77,3.49,0.04
178,qasigiannguit,40,BB,1604804955,83,13.22,-59.52,27.0,9.3
179,qasigiannguit,40,AU,1604805217,61,-21.15,149.2,28.0,9.8
180,qasigiannguit,20,IN,1604805217,65,15.52,73.76,28.0,4.1
181,qasigiannguit,0,AU,1604805043,39,-42.78,147.06,19.44,0.89
182,qasigiannguit,0,AR,1604805196,92,-38.55,-58.74,12.78,1.79
183,qasigiannguit,0,CN,1604805217,46,37.15,122.38,10.38,7.27
184,qasigiannguit,22,RU,1604805217,85,50.3,103.31,-0.74,1.28
185,qasigiannguit,82,FO,1604805217,81,62.16,-7.17,6.0,3.6
186,qasigiannguit,81,ID,1604805217,67,-8.12,111.89,28.68,2.79
187,qasigiannguit,48,RU,1604805218,79,56.91,118.26,-17.46,0.86
188,qasigiannguit,0,SY,1604805091,64,35.3,37.18,14.84,3.21
189,qasigiannguit,40,AU,1604805218,63,-13.85,136.42,34.0,4.1
190,qasigiannguit,0,RU,1604805218,91,50.0,88.67,-5.68,0.44
191,qasigiannguit,100,GB,1604805218,98,51.03,-4.22,13.33,2.24
192,qasigiannguit,40,US,1604805218,76,42.16,-72.33,12.22,1.11
193,qasigiannguit,66,CL,1604804970,77,-25.4,-70.48,14.59,0.47
194,qasigiannguit,77,RU,1604805218,89,61.95,159.23,-10.5,4.59
195,qasigiannguit,12,MX,1604805219,34,23.8,-100.73,16.11,3.38
196,qasigiannguit,70,ET,1604805219,78,8.12,38.37,13.62,2.29
197,qasigiannguit,0,RO,1604805107,87,46.43,26.4,5.56,2.08
198,qasigiannguit,100,IS,1604805219,65,63.44,-20.27,6.64,7.41
199,qasigiannguit,0,CN,1604805219,61,32.65,110.78,16.67,2.68
200,qasigiannguit,1,US,1604805144,81,41.37,-73.41,13.33,1.58
201,qasigiannguit,97,PF,1604805136,76,-16.48,-151.75,26.3,5.04
202,qasigiannguit,0,ML,1604805219,20,16.64,1.64,22.79,6.1
203,qasigiannguit,0,RU,1604805219,86,62.14,117.63,-17.71,1.4
204,qasigiannguit,88,PH,1604805220,76,5.4,125.46,28.54,4.59
